7.912446260452270508e-01,4.010253548622131348e-01,3.502690792083740234e-01,4.535565674304962158e-01,3.759102225303649902e-01,7.009931802749633789e-01,5.860469937324523926e-01,5.036532878875732422e-01,4.285441040992736816e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.106127381324768066e-01
2.344255298376083374e-01,2.517340779304504395e-01,3.842148184776306152e-01,4.867878258228302002e-01,1.000000000000000000e+00,4.698470830917358398e-01,2.939941883087158203e-01,2.482015043497085571e-01,2.870209813117980957e-01,2.517340779304504395e-01,7.063460946083068848e-01,1.000000000000000000e+00
9.095724821090698242e-01,4.486031830310821533e-01,3.918251693248748779e-01,4.793867766857147217e-01,5.374574661254882812e-01,7.841593027114868164e-01,4.274718761444091797e-01,4.394378662109375000e-01,5.073667168617248535e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.273967504501342773e-01
1.914862245321273804e-01,2.028760164976119995e-01,4.196345210075378418e-01,5.300572514533996582e-01,1.000000000000000000e+00,3.745012283325195312e-01,2.259618490934371948e-01,1.788628846406936646e-01,2.091061025857925415e-01,2.028760164976119995e-01,6.013892889022827148e-01,1.000000000000000000e+00
9.068498015403747559e-01,4.582912325859069824e-01,4.013864994049072266e-01,4.871813654899597168e-01,5.454639196395874023e-01,7.959193587303161621e-01,4.754789769649505615e-01,4.479032158851623535e-01,5.147515535354614258e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.223376274108886719e-01
1.803141236305236816e-01,1.986332982778549194e-01,4.025402665138244629e-01,5.189722180366516113e-01,1.000000000000000000e+00,4.414785802364349365e-01,2.419167757034301758e-01,1.841715425252914429e-01,1.932516992092132568e-01,1.898107528686523438e-01,5.900779366493225098e-01,1.000000000000000000e+00
8.947066664695739746e-01,4.219004511833190918e-01,3.750000000000000000e-01,4.490267336368560791e-01,4.434241652488708496e-01,7.163274288177490234e-01,3.701350986957550049e-01,4.136725664138793945e-01,4.881086051464080811e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.041174411773681641e-01
2.184047400951385498e-01,2.345304042100906372e-01,3.934770226478576660e-01,4.956983625888824463e-01,1.000000000000000000e+00,4.946057200431823730e-01,2.949835956096649170e-01,2.373964637517929077e-01,2.492549717426300049e-01,2.345304042100906372e-01,6.857143044471740723e-01,1.000000000000000000e+00
6.910506486892700195e-01,4.323641657829284668e-01,4.285714328289031982e-01,5.578383803367614746e-01,4.253210127353668213e-01,8.824825882911682129e-01,4.285714328289031982e-01,4.162024557590484619e-01,6.790149211883544922e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.361914157867431641e-01
2.072062790393829346e-01,2.204806655645370483e-01,4.212066829204559326e-01,6.559203863143920898e-01,1.000000000000000000e+00,3.496268987655639648e-01,2.377113699913024902e-01,1.980119347572326660e-01,2.147741019725799561e-01,2.116537392139434814e-01,6.414534449577331543e-01,1.000000000000000000e+00
6.709309220314025879e-01,4.756416678428649902e-01,4.977700710296630859e-01,6.539918780326843262e-01,4.756416678428649902e-01,1.000000000000000000e+00,5.200729966163635254e-01,4.453928768634796143e-01,8.268048763275146484e-01,8.736065626144409180e-01,1.000000000000000000e+00,9.407955408096313477e-01
